id,name,street_address,postal_code,latitude,longitude,city_id,stars,review_count,is_open
naturestable279647825690,Natures Table,"2701 Rocky Point Dr N, Ste 190",33607,27.9647277,-82.5690894,3,4.5,8,1
naturestable279666827159,Nature's Table Drew Street,2985 Drew St,33759,27.9666199,-82.7159145,21,2.5,9,0
nautinancysx279591827638,Nauti-Nancy's,1760 Turner St,33755,27.9591464,-82.7638406,21,4.5,277,0
navieracoffe279604824363,Naviera Coffee Mills,2012 E 7th Ave,33605,27.9604795,-82.436308,3,4.0,24,0
nazcabargril279863825702,Nazca Bar & Grill,"5915 Memorial Hwy, Ste 112",33615,27.9863552,-82.5702618,3,4.0,25,0
ndstreetcoff279501824348,22nd Street Coffee,208 N 22nd St,33605,27.9501103,-82.4348358,3,4.5,58,1
nebraskamini279892824508,Nebraska Mini Mart,4815 N Nebraska Ave,33603,27.9892386,-82.4508395,3,4.0,114,1
neighborhood279375822706,Neighborhood Bistro,905 E Brandon Blvd,33511,27.9375145,-82.2706104,22,4.0,27,0
nekterjuiceb278905822413,Nekter Juice Bar,3482 Lithia Pinecrest Rd,33596,27.8905594,-82.2413948,110,4.0,49,1
nekterjuiceb279452825100,Nekter Juice Bar,4009 W Kennedy Blvd,33609,27.9452411,-82.5100395,3,4.5,54,1
nekterjuiceb282050826646,Nekter Juice Bar,3236 Little Rd,34655,28.205002,-82.6646518,216,4.0,13,1
neptunegrill277377827078,Neptune Grill,5501 Shore Blvd S,33707,27.7377907,-82.7078536,315,4.0,144,1
neptunesbarg280192827748,Neptune's Bar & Grill Steaks Seafood,1056 Main St,34698,28.0192229,-82.774898,119,3.0,6,0
nestinggroun281004826934,Nesting Grounds Cafe,4852 Ridgemoor Blvd,34685,28.100483,-82.6934629,61,4.5,18,1
nestletollho280693825768,Nestle Toll House Cafe by Chip,8021 Citrus Park,33625,28.069335,-82.576803,3,3.5,7,1
nestletollho281915823938,Nestle Toll House Cafe by Chip,"2312 Grand Cypress Dr, Ste 841",33559,28.1915857,-82.3938314,159,3.0,8,1
networkingle279649825009,Networking Leads Coffee House,2701 N Himes Ave,33607,27.9649419,-82.5009508,3,5.0,12,1
newabcseafoo280689824442,New ABC Seafood Restaurant,"1441 E Ave, Ste 107",33612,28.0689983,-82.4442359,3,4.0,40,0
newbambooexp279957825651,New Bamboo Express,5322 Kelly Rd,33615,27.9957913,-82.5651459,3,3.5,53,1
newbeijingxx281229825023,New Beijing,17677 N Dale Mabry Hwy,33548,28.1229507,-82.5023195,159,3.5,43,0
newchinabeac278927827203,New China Beach,6170 Ulmerton Rd,33760,27.892796,-82.720302,21,3.5,43,1
newchinabuff396289861233,New China Buffet,878 US Hwy 31 N,46142,39.6289596,-86.1233495,844,2.5,23,0
newchinaking281454822827,New China King,10940 Cross Creek Blvd,33647,28.1454741,-82.2827628,3,4.0,17,1
newchinarest284350825465,New China Restaurant,146 Mariner Blvd,34609,28.4350613,-82.5465548,20,3.5,13,1
newchinaxxxx277233827398,New China,4785 Gulf Blvd,33706,27.7233709,-82.739857,364,2.0,43,1
newchinaxxxx278219827125,New China,5448 58th St N,33709,27.821904,-82.712579,484,3.5,47,1
newchinaxxxx278556823257,New China,9856 US Highway 301 S,33578,27.8556676,-82.3257208,26,2.0,42,1
newchinaxxxx278942825068,New China,"3801 W Gandy Blvd, Ste E",33611,27.8942432,-82.506827,3,3.5,39,1
newchinaxxxx279357827886,New China,1678 S Missouri Ave,33756,27.9357336,-82.7886316,21,3.0,13,1
