id,category_id
bagelstopxxx402228747201,48
bahamabreeze279322823268,18
bahamabreeze279322823268,28
bahamabreeze279322823268,52
bahamabreeze279697825627,18
bahamabreeze279697825627,28
bahamabreeze279697825627,52
bahamabreeze281956823900,18
bahamabreeze281956823900,28
bahamabreeze281956823900,52
bahamabucksx279591822780,48
bahamabucksx280889825782,48
bahamabucksx281394827552,48
bahamabucksx281881826688,48
bahiatacosxx279351825053,17
bahiatacosxx279351825053,52
bahiatacosxx279351825053,14
baileysbaran282117827413,48
baileysresta279262824535,37
bajafreshmex281956823542,14
bajassouther277511826992,37
bakenbabesxx279608824636,48
bakershogley277610826994,37
bakerymakelx279686827491,48
ballassteakh279221827872,37
ballyhoogril280782825698,28
ballyhoosgri281545827564,28
balticamberx279180827940,20
balukabillia279272823158,37
bambarxxxxxx282163826737,48
bambinopizza280387827845,48
bambinopizza280387827845,26
bambinopizza280387827845,19
bamboobeachb277870827844,37
bamboobistro277424827507,1
bamboobistro277424827507,2
bamboobistro277424827507,10
bamboogrillj402118747393,48
bamboogrillj402118747393,18
bambooxxxxxx396057861924,1
bambooxxxxxx396057861924,28
bambooxxxxxx396057861924,47
bamboozlecaf279485824594,32
bamboozlecaf279485824594,48
bamboozlecaf279485824594,10
bamboozlecaf279485824594,5
bamboozlecha279486824465,32
bamboozlecha279486824465,10
bamboozlecha279486824465,48
bamboozlecha279486824465,5
bambuxxxxxxx278397826978,48
bambuxxxxxxx278397826978,5
bananablosso299130900590,32
bananablosso299130900590,4
bananaleafth277560827372,4
banellytaque279560827874,14
bangkokcuisi278396827660,4
bangkokfusio278929826842,10
bangkokfusio278929826842,4
bangkokjazzt280548823776,48
bangkokjazzt280548823776,4
bangkokjazzt280548823776,47
bangkoksiamx278598827283,4
bangkoksushi281896825412,4
bangkokthair277714826412,4
bangkoktokyo280316827384,4
banhmibanhan280253825037,5
banhmifactor280960825039,48
banhmifactor280960825039,5
banhmihousex280705825056,5
banhmisaigon278381826825,48
banhmisaigon278381826825,5
banhmisaigon278381826825,47
banhmisaigon278518827005,48
banhmisaigon278518827005,5
banjosbbqgri279600824384,37
bankmainxxxx282504827207,48
banthaiandsu280129827082,4
banthairesta280835825396,4
barakixxxxxx281551827576,49
barakixxxxxx281551827576,19
barasiaxxxxx279434824828,10
barawatarmat279608824636,48
barbacoamexi278943826694,14
barbarascupc283308826454,48
barbcutiexxx362965867001,37
barbqqueenxx279785827750,48
barbqqueenxx279785827750,27
barbquekingx279569824821,37
barbsdrivein282304821803,37
barbswoodens278951827644,37
bardellispiz281806824642,48
bardellispiz281806824642,26
bardellispiz281806824642,19
barefootbeac279723828299,48
barefootbeac279723828299,28
barefootbill278934824954,37
barflypalmha280787827662,28
barflypalmha280787827662,14
barflysafety279906826883,18
barflysafety279906826883,28
bargainbasem283630826947,48
bargrillxxxx281471825032,37
barhwrdxxxxx279416824827,37
baristascoff278939825024,48
barleymowbre279168827941,48
barleysbilli280359825409,37
barlouiegree396337861216,37
barlouietamp279661825209,37
barlouiexxxx280169827343,37
barlouiexxxx402306751368,37
barnaclesfis278522822688,37
barnaclesres279253823178,28
barnesandnob281871823503,48
barnhillsbuf282177827104,37
barniesxxxxx281887823474,48
barracudadel278593827877,18
barracudadel278593827877,52
barrevxxxxxx396133861094,37
barriehausbe279589824438,48
barrowsgourm279358825032,47
barrysgourme278986827042,48
bartacoxxxxx279363824759,14
barxxxxxxxxx279519825245,37
bascettisita280198827615,48
bascettisita280198827615,19
bascomschoph278946826838,28
basilfusionb279654827976,5
basilleafxxx277352827464,48
basilleafxxx277352827464,4
basimobeachc279519828297,48
basimobeachc279814828267,48
baskinrobbin278780823262,48
baskinrobbin278901827284,48
baskinrobbin279165822996,48
baskinrobbin279601827325,48
baskinrobbin279820823102,48
baskinrobbin279902821219,48
baskinrobbin279962825831,48
baskinrobbin280127825055,48
baskinrobbin280188827648,48
baskinrobbin280322824243,48
baskinrobbin280436826800,48
baskinrobbin280742827396,48
baskinrobbin280854825384,48
baskinrobbin281306823669,48
baskinrobbin281446822819,48
baskinrobbin281939827405,48
baskinrobbin298783900347,48
baskinrobbin299002900311,48
baskinrobbin396345861267,48
basquexxxxxx280350827386,49
bassanochees279909826924,48
bastetbrewin279552824367,48
batonrouxxxx278908825023,48
batterdoughx281864823655,48
bausersxxxxx280073827881,59
bavarospizza279489824588,26
bavarospizza279489824588,19
bavarospizza279767825377,26
bavarospizza279767825377,19
bawarchibiry279384823176,32
bawarchibiry279384823176,48
bawarchibiry279384823176,54
bawarchibiry279384823176,7
bawarchixxxx280885827406,8
bawarchixxxx280885827406,7
bayborobrewi277663826655,48
bayborocafea277592826368,37
baybreezecaf279439825379,48
baybrewingxx278953825205,48
baycannonbee279569824811,48
baycitysandw279489824570,48
baycoffeetea279757825323,48
baycoffeetea280539824163,48
bayicecreams278579828465,48
bayleavesxxx280258825103,1
bayleavesxxx280258825103,4
bayleavesxxx280258825103,7
bayleavesxxx280258825103,48
bayleavesxxx280258825103,28
baymontbywyn280443824255,37
bayoubistrox281552827644,32
bayoubistrox281552827644,28
bayoubodegax279265824530,48
bayoubodegax279265824530,18
bayoumarketa277705827292,28
bayoumarketa277705827292,47
bayousnowbal298988900429,48
baypizzadinn280809824301,26
bayscapeathe281473822964,37
bayshorebree280499827804,48
bayshoremark278911824859,48
bayshoremedi278798824936,9
bayshoremedi278798824936,28
bayshoremedi278798824936,49
bayshorepizz280216827895,26
baysidecafeg279814827111,37
baysidedelic279658825493,37
baytendersoy278123826388,28
bayviewpubgr279332827225,27
bazillexxxxx279638825224,37
bbctavernand397803755988,48
bbmageestave283948826641,37
bdsmongolian280490826957,48
bdsmongolian280490826957,1
bdsmongolian280490826957,10
beachbitesca277860827823,48
beachbitesca277860827823,19
beachboundde278894828327,37
beachbrewzxx278285828306,48
beachbrewzxx278285828306,14
beachislandb280397827842,48
beachpizzapl278219827865,26
beachpizzaxx278911827837,26
beachshantyc279784828271,37
beachsidefre278982828479,48
beachsidegri278334828339,37
beachsnoball277410827511,48
beachwavesgr279052828475,28
beachwavesgr279052828475,14
beachwoodsea280352826550,28
beaconpoolba277092827375,37
beaconwoodsr283361826974,37
beaksoldflor277713826669,18
beanarrowcof280453826818,48
beaniebellie279170824937,48
beaniesbarsp277043824425,27
beansbarlour277714826388,48
bearssgroves280878824868,48
bearsssandwi280751824597,18
bearsstavern280807824280,19
bearsstavern280807824280,20
beauneswineb279621824345,48
beautyboutiq386369903469,26
beccofinoxxx278827824936,19
beechkombuch277641826755,48
beefcakeburg395942861605,37
beefcakeburg396324861203,37
beefconnecti298993900465,37
beefjerkyout277850827830,48
beefobradysl281910824594,37
beefobradyso280364826578,48
beefobradyso280364826578,27
beefobradysx277140823764,37
beefobradysx277246826801,27
beefobradysx277315827451,37
beefobradysx277704823935,37
beefobradysx277903823421,48
beefobradysx278574823266,48
beefobradysx278747822687,37
beefobradysx278801828293,48
beefobradysx278910822711,37
beefobradysx278939826669,37
beefobradysx279014825059,48
beefobradysx279014825059,27
beefobradysx279201824939,37
beefobradysx279346822944,48
beefobradysx279365822423,37
beefobradysx279487823480,37
beefobradysx279815822886,37
beefobradysx279876821202,37
beefobradysx280115827139,27
beefobradysx280347823927,37
beefobradysx280352825011,48
beefobradysx280352825011,27
beefobradysx280633824139,37
beefobradysx280860825802,48
beefobradysx280860825802,27
beefobradysx280876826940,27
beefobradysx280969825038,27
beefobradysx281406824612,27
beefobradysx281454822840,37
beefobradysx281823823528,37
beefobradysx281949825040,48
beefobradysx282392823646,37
beefobradysx282498827223,37
beefobradysx282600824740,37
beefobradysx282836826775,37
beefobradysx283308825715,48
beerbrownies280249824830,48
beerbrownies280249824830,59
beercheezcra280364826578,48
beercheezcra280364826578,59
beerwinemake278555827290,48
beerworldxxx278969827956,48
beijinghouse280689824442,1
beijinghouse280689824442,10
bellabravaxx277737826329,26
bellabravaxx277737826329,19
bellabravaxx279525825031,26
bellabravaxx279525825031,19
bellacucinax277142823530,19
belladoraspi279184827967,48
belladoraspi279184827967,26
belladoraspi279184827967,19
bellahabanax277327827448,18
bellaitaliar278716827603,26
bellaitaliar278716827603,19
bellakouzina279911826948,49
bellakouzina279911826948,19
bellakouzina280232827083,49
bellakouzina280232827083,19
bellamareris280161821241,26
bellamareris280161821241,19
bellapizzaxx278943822680,26
bellaromapiz399245753392,26
bellaromapiz399245753392,19
bellascafexx279766825374,26
bellascafexx279766825374,19
bellasitalia279283824839,19
bellavinowin279179828171,48
belleaircoff279180828170,48
belleairmark279217828148,48
bellefouchet298783900303,18
bellesoliveb279170828170,48
belliniresta280119827859,19
bellissimoit278931827466,19
bellissimoit278931827466,28
bellitaliapi402027747391,26
belloxxxxxxx279518824595,19
bellstapandt280859825802,37
belmarbarand279113825182,37
belmartavern279113825175,37
belowxxxxxxx279323825066,48
belowxxxxxxx279899821230,48
belowxxxxxxx281520823523,48
belowxxxxxxx281950823542,48
benedictsfam278387827357,49
benedictsfam279162827905,49
benedictsfam279733827464,37
benedictsfam280511827815,48
benedictsres278577828320,37
